71,"Rue Barthélémy","Plateau Chémerault ","yes","59440","AVESNES SUR HELPE",29,"SCM","BFPCW"
72,"21 Place de L'Eglise",,"yes","59129","AVESNES-LEZ-AUBERT",,,
73,"95 Boulevard Gabriel Péri",,"yes","62210","AVION",23,,"VERMEULEN"
74,"66 Chaussée Brunehaut",,"yes","59138","BACHANT",29,"SELARL","DOCTEURS BLONDEAU"
75,"1 rue Emile Hié",,"yes","59270","BAILLEUL",2,,"LEROY"
76,"10 rue Foch",,"yes","59270","BAILLEUL",29,"SCM","DOCTEURS  DANJOU GHESQUIERE"
77,"17 avenue François Rabelais ",,"yes","59270","BAILLEUL",2,,"VIEVILLE"
78,"24 rue Pharaon de Winter",,"yes","59270","BAILLEUL",2,,"JOMBART"
79,"40 rue d'Occident",,"yes","59270","BAILLEUL",,,
80,"325 rue de la Mairie",,"yes","59780","BAISIEUX",29,,
81,"84 rue de Tournai",,"yes","59780","BAISIEUX",29,,"LARUE"
82,"17 Route de Douai",,"yes","62450","BAPAUME",19,,
83,"4-6 Avenue de la Gare",,"yes","62450","BAPAUME",19,,
84,"60 Place Roger Salengro",,"yes","62620","BARLIN",19,,"BECQUET"
85,"92 rue Jean Jaurès",,"yes","59221","BAUVIN",23,,
86," rue des Allées","Maison Médicale","yes","59570","BAVAY",14,,
87,"6 Bis rue de la Gare",,"yes","62123","BEAUMETZ LES LOGES",27,"SELARL","GIGAUX"
88,"14 rue du ler Mai",,"yes","62217","BEAURAINS",19,,
89,"2 Avenue du Dr Cazin",,"yes","62600","BERCK SUR MER",23,,"BODART"
90,"264 rue de l'Impératrice",,"yes","62600","BERCK SUR MER",23,"SELARL","DOCTEURS CHARLATE ET BASTIEN"
91,"475 rue de l'Impératrice",,"yes","62600","BERCK SUR MER",23,,"COHEN"
92,"1 Bis rue de la Motte",,"yes","59235","BERSEE",23,,"LEPAN"
94,"187 Boulevard Victor Hugo",,"yes","62400","BETHUNE",29,"SELARL","DOCTEURS LAFONTAINE ET DUCROCQ"
95,"213 rue Arthur Lamendin",,"yes","62400","BETHUNE",2,,"JACQUEMONT"
96,"220 rue de Jemmapes",,"yes","62400","BETHUNE",2,"SCM","NOUVELLE DE JEMMAPES"
97,"249 rue du Banquet Reformiste",,"yes","62400","BETHUNE",,,
98,"57 rue Aristide Hurbiez",,"yes","62400","BETHUNE",28,"SCP","EBHL"
99,"73 place du Maréchal Joffre",,"yes","62400","BETHUNE",28,,
100,"10 rue des Poilus",,"yes","59192","BEUVRAGES",29,"SCM","DOCTEURS DUBRULLE ET MICHEL"
101,"77 route Nationale",,"yes","62660","BEUVRY",2,,"CHOUDHARI"
102,"9 Place Roger Salengro",,"yes","62660","BEUVRY",23,,"SOEN"
103,"115 A rue du Général de Gaulle",,"yes","62138","BILLY BERCLAU",,,
104,"72 Route Nationale",,"yes","62420","BILLY MONTIGNY",19,,
105,"445 Avenue du Rossignol",,"yes","62610","BOIS EN ARDRES",,,
106,"15 rue de la chapelle",,"yes","59280","BOIS GRENIER",2,,"MEAUX"
107,"1 rue de la Poste",,"yes","59910","BONDUES",2,,"CHANDELIER"
108,"30 rue Fouquet Lelong ","Apt 5","yes","59910","BONDUES",13,,
109,"670 Avenue du Général de Gaulle",,"yes","59910","BONDUES",29,,"VAN HEEMS"
110,"756 avenue du Gal de Gaulle",,"yes","59910","BONDUES",,,
111,"166 rue Léon Piérard",,"yes","59111","BOUCHAIN",28,,
112,"200 rue Léon Piérard",,"yes","59111","BOUCHAIN",29,,"HERLEM"
113,"225 Boulevard Louis Havez",,"yes","59111","BOUCHAIN",29,"SCM","DELANGUE MARAIN"
114,"14 rue Cazin",,"yes","62200","BOULOGNE SUR MER",9,,
115,"19 rue de Marignan",,"yes","62200","BOULOGNE SUR MER",28,,
116,"2 Bis rue Faidherbe",,"yes","62200","BOULOGNE SUR MER",28,,
117,"2 rue de Béthune",,"yes","62200","BOULOGNE SUR MER",28,,
118,"27 Grande Rue",,"yes","62200","BOULOGNE SUR MER",28,,
119,"27 rue Félix Adam",,"yes","62200","BOULOGNE SUR MER",28,,
120,"37 rue de la Lampe",,"yes","62200","BOULOGNE SUR MER",28,,
121,"42 Rue du Mont saint adrien ","C3","yes","62200","BOULOGNE SUR MER",27,,
122,"5 rue Charles Péron",,"yes","62200","BOULOGNE SUR MER",28,,
123,"56 rue des Pipots",,"yes","62200","BOULOGNE SUR MER",28,,
124,"90 rue de Bréquerecque",,"yes","62200","BOULOGNE SUR MER",,,
125,"5 rue Victor Lacroix",,"yes","62860","BOURLON",29,,
126,"120 rue St Joseph",,"yes","59166","BOUSBECQUE",28,,
127,"39 rue de Wervicq",,"yes","59166","BOUSBECQUE",28,,
128,"9 rue Charles Seydoux",,"yes","59222","BOUSIES",29,,
129,"1 rue Eugène Chimot",,"yes","59168","BOUSSOIS",29,,
130,"15 Place Alphonse Bray",,"yes","59123","BRAY DUNES",10,,
131,"16 rue du Groupe Lorraine",,"yes","62117","BREBIERES",19,,
132,"836 Route Nationale",,"yes","62117","BREBIERES",19,,
133,"75 Rue du Périgord","Appt 6","yes","62700","BRUAY LA BUISSIERE",19,,
134,"239 rue Henri Cadot",,"yes","62700","BRUAY LA BUISSIERE",19,,
135,"543 rue Louis Dussart",,"yes","62700","BRUAY LA BUISSIERE",2,,
